,Model,Managment,Discount,Metric,Result
5,LogReg,Comm-Ind,DR1,optimal,-534.279263678383
0,LogReg,Comm-Ind,DR3,F,-0.5972125500773052
1,LogReg,Comm-Ind,DR3,G,0.9928629522063946
2,LogReg,Comm-Ind,DR3,times,0.9928629522063946
3,LogReg,Comm-Ind,DR3,salvage,-465.39167034676495
4,LogReg,Comm-Ind,DR3,no_salvage,-431.35423468745313
5,LogReg,Comm-Ind,DR3,optimal,-467.830838699558
0,LogReg,Comm-Ind,DR5,F,-0.5999155350752713
1,LogReg,Comm-Ind,DR5,G,1.1742208208275056
2,LogReg,Comm-Ind,DR5,times,1.1742208208275056
3,LogReg,Comm-Ind,DR5,salvage,-426.73602148578624
4,LogReg,Comm-Ind,DR5,no_salvage,-403.0737022492998
5,LogReg,Comm-Ind,DR5,optimal,-430.7087994360534
0,LogReg,HighGrade,NoDR,F,0.8578739691906815
1,LogReg,HighGrade,NoDR,G,1.0
2,LogReg,HighGrade,NoDR,times,1.0
3,LogReg,HighGrade,NoDR,salvage,-641.807345216278
4,LogReg,HighGrade,NoDR,no_salvage,-583.9122529264706
5,LogReg,HighGrade,NoDR,optimal,-642.345594858925
0,LogReg,HighGrade,DR1,F,-0.21796422916108021
1,LogReg,HighGrade,DR1,G,1.0451056862060575
2,LogReg,HighGrade,DR1,times,1.0451056862060575
3,LogReg,HighGrade,DR1,salvage,-586.8845263429835
4,LogReg,HighGrade,DR1,no_salvage,-544.412306842295
5,LogReg,HighGrade,DR1,optimal,-588.237931945218
0,LogReg,HighGrade,DR3,F,-0.43890876546050306
1,LogReg,HighGrade,DR3,G,1.5422043178052227
2,LogReg,HighGrade,DR3,times,1.5422043178052227
3,LogReg,HighGrade,DR3,salvage,-514.9367494740898
4,LogReg,HighGrade,DR3,no_salvage,-494.6500277803028
5,LogReg,HighGrade,DR3,optimal,-519.7097059488348
0,LogReg,HighGrade,DR5,F,-0.32189026192060216
1,LogReg,HighGrade,DR5,G,2.3395242094863713
2,LogReg,HighGrade,DR5,times,2.3395242094863713
3,LogReg,HighGrade,DR5,salvage,-473.3418221060553
4,LogReg,HighGrade,DR5,no_salvage,-467.6410931972025
5,LogReg,HighGrade,DR5,optimal,-482.8162674276839
0,RF,Heavy,NoDR,F,-1.0475723534330859
1,RF,Heavy,NoDR,G,0.6240818422198902
2,RF,Heavy,NoDR,times,0.6240818422198902
